Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
1,5.0,1.0,4,picture,happy turn stop give here ,happy ,happy,5',5.429,0.2465,1639334526.398,2.9519999027252197
1,5.0,2.0,1,picture,happy turn stop give here ,happy turn ,turn,49,5.429,0.1188,1639334533.11,6.711999893188477
1,5.0,2.0,2,picture,happy turn stop give here ,happy turn ,turn,49,5.429,-0.0858,1639334535.704,2.5940001010894775
1,5.0,2.0,3,picture,happy turn stop give here ,happy turn ,turn,49,5.429,-0.0408,1639334538.35,2.6459999084472656
1,5.0,2.0,4,picture,happy turn stop give here ,happy turn ,turn,49,5.429,0.0649,1639334541.095,2.745000123977661
1,5.0,3.0,1,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,1.4052,1639334547.958,6.86299991607666
1,5.0,3.0,2,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,-0.1277,1639334548.422,0.46399998664855957
1,5.0,3.0,3,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,0.502,1639334552.214,3.7920000553131104
1,5.0,3.0,4,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,0.6727,1639334556.825,4.611000061035156
1,5.0,3.0,5,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,1.0619,1639334561.815,4.990000009536743
1,5.0,3.0,6,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,-0.6536,1639334562.215,0.39999985694885254
1,5.0,3.0,7,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,-0.7814,1639334566.647,4.432000160217285
1,5.0,3.0,8,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,1.2944,1639334569.007,2.359999895095825
1,5.0,3.0,9,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,0.8064,1639334569.599,0.5920000076293945
1,5.0,3.0,10,picture,happy turn stop give here ,happy turn break ,stop,56,5.429,0.8952,1639334570.288,0.689000129699707
1,5.0,4.0,1,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,1.8763,1639334576.031,5.742999792098999
1,5.0,4.0,2,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,1.2934,1639334581.087,5.055999994277954
1,5.0,4.0,3,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,-0.8303,1639334581.478,0.39100003242492676
1,5.0,4.0,4,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,1.7086,1639334586.183,4.705000162124634
1,5.0,4.0,5,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,-0.9081,1639334586.641,0.45799994468688965
1,5.0,4.0,6,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,0.2625,1639334588.974,2.3329999446868896
1,5.0,4.0,7,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,0.0649,1639334589.455,0.4809999465942383
1,5.0,4.0,8,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,-0.3742,1639334590.136,0.6809999942779541
1,5.0,4.0,9,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,2.2186,1639334592.134,1.998000144958496
1,5.0,4.0,10,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,-0.0299,1639334597.32,5.185999870300293
1,5.0,4.0,11,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,2.2136,1639334599.328,2.008000135421753
1,5.0,4.0,12,picture,happy turn stop give here ,happy turn break sick ,give,66,5.429,0.9701,1639334600.082,0.7539999485015869
1,5.0,5.0,1,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,2.3862,1639334605.846,5.763999938964844
1,5.0,5.0,2,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,-0.8203,1639334606.511,0.6649999618530273
1,5.0,5.0,3,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,-0.6785,1639334607.094,0.5830001831054688
1,5.0,5.0,4,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,0.6467,1639334611.342,4.247999906539917
1,5.0,5.0,5,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,-0.7664,1639334612.623,1.2809998989105225
1,5.0,5.0,6,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,1.5899,1639334615.225,2.6019999980926514
1,5.0,5.0,7,picture,happy turn stop give here ,happy turn break sick here ,here,51,5.429,1.7345,1639334617.95,2.7250001430511475
2,1.0,1.0,1,picture,make again bumpy i what ,away ,make,43,5.429,-0.0059,1639507054.27,0
2,1.0,1.0,2,picture,make again bumpy i what ,away ,make,43,5.429,0.8493,1639507057.807,3.5369999408721924
2,1.0,1.0,3,picture,make again bumpy i what ,away ,make,43,5.429,1.5189,1639507062.038,4.231000185012817
2,1.0,1.0,4,picture,make again bumpy i what ,away ,make,43,5.429,-0.6287,1639507062.486,0.4479999542236328
2,1.0,1.0,5,picture,make again bumpy i what ,away ,make,43,5.429,0.8004,1639507063.078,0.5920000076293945
2,1.0,1.0,6,picture,make again bumpy i what ,away ,make,43,5.429,0.4501,1639507066.247,3.1689999103546143
2,1.0,1.0,7,picture,make again bumpy i what ,away ,make,43,5.429,2.4441,1639507071.406,5.158999919891357
2,1.0,1.0,8,picture,make again bumpy i what ,away ,make,43,5.429,1.7355,1639507072.935,1.5290000438690186
2,1.0,1.0,9,picture,make again bumpy i what ,away ,make,43,5.429,-0.1666,1639507075.47,2.5350000858306885
2,1.0,2.0,1,picture,make again bumpy i what ,away again ,again,15,5.429,-0.0738,1639507081.243,5.773000001907349
2,1.0,2.0,2,picture,make again bumpy i what ,away again ,again,15,5.429,0.2336,1639507083.191,1.9479999542236328
2,1.0,2.0,3,picture,make again bumpy i what ,away again ,again,15,5.429,-0.1118,1639507088.284,5.0929999351501465
2,1.0,2.0,4,picture,make again bumpy i what ,away again ,again,15,5.429,0.025,1639507091.022,2.7380001544952393
2,1.0,2.0,5,picture,make again bumpy i what ,away again ,again,15,5.429,-0.1577,1639507093.559,2.5369999408721924
2,1.0,2.0,6,picture,make again bumpy i what ,away again ,again,15,5.429,-0.0618,1639507096.215,2.6559998989105225
2,1.0,2.0,7,picture,make again bumpy i what ,away again ,again,15,5.429,0.1368,1639507099.054,2.8389999866485596
2,1.0,3.0,1,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,0.035,1639507103.431,4.377000093460083
2,1.0,3.0,2,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,-0.1237,1639507108.512,5.081000089645386
2,1.0,3.0,3,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,0.002,1639507111.198,2.685999870300293
2,1.0,3.0,4,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,0.1138,1639507114.03,2.8320000171661377
2,1.0,3.0,5,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,0.2485,1639507116.965,2.934999942779541
2,1.0,3.0,6,picture,make again bumpy i what ,away again bumpy ,bumpy,63,5.429,-0.1806,1639507119.495,2.5299999713897705
